id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
9835,33057,House,60,,,,,22,1,365,30,60,90,365,90
10803,38901,Apartment,35,200,803,0,9,15,3,45,4,9,33,213,87
12936,50121,Apartment,159,1253,4452,450,100,28,3,28,10,26,51,326,94
15246,59786,House,50,250,920,200,15,20,2,200,0,0,0,0,94
16760,65090,House,69,400,1900,,15,20,1,90,2,30,60,328,90
38271,164193,Apartment,98,540,,0,0,30,1,14,12,27,57,328,97
41836,182833,House,50,335,1400,,10,20,7,365,0,0,0,0,94
43414,189682,Apartment,100,,,1000,30,25,1,90,5,11,11,11,93
43429,189684,Apartment,98,535,,500,40,0,2,365,7,25,35,310,97
44082,193031,House,60,413,1540,0,29,20,3,730,1,5,35,310,99
47100,212071,Apartment,98,800,,200,80,20,4,30,13,13,18,22,98
50492,50121,Apartment,190,1743,5572,500,110,0,3,28,10,22,44,316,97
51592,190879,Loft,228,1575,5100,250,40,40,2,90,13,39,56,331,99
58055,277353,House,46,320,1150,,,12,2,730,21,28,28,278,85
62606,277353,House,50,300,1000,,,11,2,730,15,23,53,328,84
65432,277353,House,43,300,1100,,,0,2,60,5,32,62,337,81
66754,50121,Apartment,138,1183,4172,450,100,28,3,28,11,19,49,324,95
67211,326880,Apartment,42,,,,,0,2,30,10,30,55,330,95
68036,336319,House,161,,,,,0,5,9,0,0,0,128,98
68411,334095,House,300,,,,,0,1,730,0,0,0,0,
68482,59786,House,140,920,3000,300,50,30,5,365,0,0,0,0,95
69421,347754,Apartment,180,1000,4000,,50,50,2,90,30,60,90,365,100
70004,193031,House,60,343,1260,0,29,0,2,300,27,38,68,343,100
70328,356006,Townhouse,68,385,1500,200,,20,1,14,24,44,74,349,98
71156,318900,Apartment,60,200,800,0,20,20,3,5,0,0,0,0,95
72576,376675,House,120,,,0,0,10,3,31,17,36,63,243,99
74324,390761,Townhouse,228,2437,8648,5503,142,24,30,300,0,0,0,271,96
74548,392505,Apartment,64,,,0,0,0,2,30,0,12,18,283,97
74715,392594,House,48,300,,,,10,2,30,0,0,26,106,94
74959,395864,Townhouse,96,665,,0,30,0,2,31,21,51,76,351,99
76867,410806,Apartment,84,559,,,,20,2,7,30,57,82,172,97
78143,419767,Townhouse,98,600,,0,20,20,2,7,14,37,67,340,95
80986,50121,Apartment,119,1043,3612,450,100,28,3,28,9,10,28,303,86
86369,246509,Apartment,109,700,1900,500,80,25,21,130,10,10,13,180,100
108032,559227,Apartment,140,,,300,60,50,2,16,4,7,21,280,98
111001,569413,Hotel,80,700,2800,138,30,0,2,365,21,48,78,351,74
120487,606393,Guesthouse,90,,,200,70,20,2,365,7,7,7,277,96
126723,628372,House,50,,,100,15,30,1,730,5,35,65,340,93
133617,646383,Apartment,80,,,200,30,30,6,1125,29,59,89,179,95
136510,668249,Apartment,46,156,657,350,35,8,1,730,0,0,0,0,90
144236,699180,Apartment,245,1470,4900,550,110,45,2,730,30,60,90,365,
150729,376675,House,90,,,0,0,10,3,31,3,15,15,104,99
156482,707620,House,205,380,750,500,89,25,2,60,10,27,42,42,97
157427,717024,Guest suite,161,670,2400,,,0,1,1125,22,47,65,340,96
161033,770883,Farm stay,80,450,,,8,0,2,14,16,27,57,332,95
161404,772011,Townhouse,138,,,500,50,20,3,180,5,35,65,65,96
163077,50121,Apartment,138,1113,3892,450,100,28,3,28,14,34,64,339,92
167067,796181,Apartment,46,280,980,,,0,4,730,0,0,1,267,88
171291,503485,Apartment,199,1100,4300,200,90,0,3,30,0,21,21,21,97
173426,804527,House,36,350,,0,18,20,1,7,0,0,0,0,99
189128,668611,House,60,,,250,20,20,1,30,13,43,73,73,97
189293,182833,House,30,,,,10,15,2,20,0,0,0,0,100
189406,913736,Condominium,161,1030,3400,250,0,15,3,90,17,30,60,60,94
189434,913736,Condominium,161,1030,3400,250,0,15,3,90,4,24,54,54,96
210568,1038237,House,58,330,1300,140,20,10,3,1095,0,0,6,6,95
213348,689924,House,71,500,1200,,50,30,3,760,30,60,90,365,93
214565,1107678,House,30,,,,,0,1,28,0,0,0,0,
215787,700065,Apartment,93,750,2250,500,160,0,30,365,7,10,10,254,91
227028,1184368,Apartment,220,1400,3862,150,85,25,2,1125,16,24,51,225,95
227964,1165452,Bed and breakfast,90,550,2320,100,60,0,7,60,28,58,88,363,100
229430,1198300,House,48,300,,100,,0,2,7,0,0,0,0,97
230790,1197236,Bed and breakfast,140,700,2500,,,50,1,28,23,50,78,342,95
232088,1214242,Guesthouse,78,600,2000,250,60,24,4,1825,0,0,0,183,93
232812,950667,Condominium,190,900,2500,200,100,60,2,60,1,1,1,221,83
234407,1227462,Apartment,61,420,,300,,14,1,7,30,60,90,365,95
240410,1260586,Apartment,155,910,3300,,,20,2,760,13,20,33,301,96
241263,1345462,Apartment,90,,,,20,0,1,760,19,47,77,352,98
244872,605990,House,73,,,,,0,1,760,30,60,90,365,
244952,287730,Apartment,125,900,3400,,70,20,1,59,18,48,78,340,94
246337,1292150,House,84,,,,,50,1,7,30,60,90,365,95
247006,538647,House,91,595,,0,0,100,2,90,23,31,61,334,93
247140,1296115,Apartment,226,1575,,300,50,100,3,60,14,31,61,336,98
248235,1300846,House,419,2000,,500,150,20,4,30,1,2,2,90,97
252381,50121,Apartment,129,1113,3892,450,100,28,3,28,3,20,48,323,92
256186,1344893,Apartment,120,840,3600,500,80,15,7,365,5,15,20,288,93
257149,504534,Apartment,129,890,3200,350,90,18,2,365,0,5,16,240,91
257915,569413,Apartment,700,3500,15000,300,80,40,2,365,22,45,75,345,87
261558,1372143,House,125,350,1250,250,55,55,2,31,29,59,89,89,98
262020,1374781,Apartment,161,900,3436,500,60,50,3,365,4,6,36,61,94
263871,1384456,Apartment,125,800,2700,500,150,50,7,365,18,29,59,334,98
267678,1403667,Apartment,145,,,300,95,0,3,365,0,0,0,10,98
268525,1179603,House,40,244,1080,100,30,20,18,90,28,58,88,178,
268620,1407948,House,72,,,,,0,1,760,30,60,90,365,
268849,1408673,Apartment,115,1150,3850,150,70,35,1,1120,8,22,43,65,98
277605,1448773,House,199,1277,4200,300,100,50,2,365,14,33,63,338,80
280698,50121,Apartment,199,1743,5572,500,110,28,3,28,11,25,51,326,94
283257,1475619,House,140,908,3632,350,60,30,3,59,7,31,35,185,98
284210,1480426,Apartment,145,630,2500,250,60,25,4,130,15,16,16,16,97
286460,1490560,House,55,,,,,0,14,1125,30,60,90,365,
289467,1448773,Apartment,251,1627,4000,300,120,60,2,365,14,32,62,337,93
297350,1533260,House,46,,,0,20,33,1,1124,25,48,58,333,95
300679,1505279,House,28,,,150,10,15,2,5,3,10,40,286,100
304910,1569097,Apartment,84,580,,,15,40,2,14,9,24,24,274,94
307615,1582716,Townhouse,75,550,1800,0,30,20,1,1125,5,24,38,199,93
307630,1582716,Townhouse,75,550,1900,,30,25,1,1125,0,0,0,0,93
309093,1349266,Apartment,295,1850,6245,500,145,15,2,1125,23,23,27,117,
310594,1597828,House,125,1100,,200,50,0,2,21,0,20,50,138,97
313648,1612516,Apartment,109,,3185,750,60,10,4,1125,0,0,19,294,93
315513,1533260,House,46,,,0,0,25,1,1125,23,53,83,358,96
317239,1628602,House,158,,,0,0,10,3,30,30,60,90,365,
317351,721348,Apartment,125,994,3750,250,40,20,7,365,14,44,74,349,89
323280,1608157,House,60,446,1775,200,28,35,1,730365,30,60,90,365,88
331605,569413,Serviced apartment,357,2400,9000,300,50,50,1,365,19,40,70,337,86
334891,1705701,Apartment,65,400,1450,,,0,1,365,30,60,90,365,93
344458,1710397,Apartment,174,1351,4410,,183,20,3,1125,6,21,23,284,87
353243,1789382,House,100,,,,,0,1,1125,30,60,90,365,
357740,1810523,House,60,,,,7,30,1,14,14,44,74,349,97
361613,1292150,House,109,,,,,20,1,7,28,58,88,363,94
363060,1835097,House,71,490,1960,,20,25,3,330,30,60,90,365,
363278,1835785,Cottage,71,,,,,0,1,1125,3,20,48,319,98
365832,1847357,Townhouse,329,850,2800,500,40,10,1,30,29,59,89,364,92
366848,1852215,Apartment,129,750,2900,,60,20,6,1125,0,4,34,34,97
376421,1892688,Bed and breakfast,174,1120,4500,,,0,1,1125,30,60,90,365,100
381690,1914257,Apartment,114,690,2436,0,65,10,1,1125,0,11,11,205,90
386252,381584,House,100,,,,,0,30,365,30,60,90,365,
394600,485320,Apartment,120,735,,,80,0,2,35,3,14,38,306,95
397285,1710397,Apartment,174,1260,4410,,183,20,3,1125,7,23,45,314,97
402105,1710397,Apartment,221,1568,4867,,233,20,3,1125,4,24,54,321,91
403580,2012806,House,86,560,2252,0,20,25,3,90,27,46,60,335,99
403876,2014143,Guesthouse,136,805,3000,200,60,0,3,90,0,1,8,122,98
406997,2027601,House,50,350,975,150,85,0,3,36,23,53,83,199,86
411059,1435566,Apartment,132,895,3763,180,50,25,2,21,7,16,33,282,96
414093,1710397,Apartment,246,1967,5931,150,233,20,3,1125,2,16,33,276,89
415776,2067875,Apartment,82,500,800,0,20,10,1,60,0,0,0,187,98
419490,2068905,Apartment,150,1000,3800,500,60,7,7,90,0,0,0,0,100
432113,2148869,Apartment,150,1300,5300,250,150,20,6,730,7,13,13,268,97
433779,2027601,House,46,300,900,150,85,0,3,1125,0,0,0,0,83
437892,2151046,House,48,,,,,0,21,1125,30,60,90,365,
438849,2180044,House,199,1050,3900,250,200,0,10,1125,0,0,0,0,85
438899,1777499,Loft,300,,,,75,25,2,90,25,53,78,353,95
448006,1710397,Apartment,174,1421,4715,,183,20,3,1125,0,0,0,212,89
448017,1710397,Apartment,174,1246,4258,,183,20,3,1125,10,30,50,271,95
448041,1710397,Apartment,174,1351,4410,,183,20,3,1125,2,8,23,271,85
449585,2232579,House,100,894,,,,0,1,1125,5,35,65,340,98
453940,2255480,House,40,,,,,0,1,1125,0,0,0,0,
456950,2271938,Apartment,291,2299,8998,500,80,0,5,1125,30,60,90,365,93
458168,1710397,Apartment,174,1351,4410,,183,20,3,1125,6,30,38,299,100
458182,1710397,Apartment,174,1260,4410,,183,20,3,1125,8,38,68,333,83
464528,760849,Apartment,325,2093,6972,400,,15,5,365,1,9,38,143,100
464612,2309055,House,54,,,0,0,23,4,365,29,59,89,364,95
466494,760849,House,505,2933,9576,400,,15,5,90,0,0,0,24,93
466732,760849,Apartment,285,1680,6048,400,,15,5,365,17,33,63,179,
467028,943036,House,96,,2400,150,0,15,2,60,15,38,65,310,91
467125,1583957,Apartment,115,700,2600,,30,15,4,1125,0,0,10,285,81
475855,2358976,Townhouse,53,,,,15,20,1,4,29,59,89,364,91
479281,760849,House,335,,,400,0,0,5,90,9,21,51,326,100
479333,760849,House,335,1925,6944,400,,0,5,365,7,16,46,162,88
479472,760849,Townhouse,305,1764,5852,400,,0,5,365,8,25,47,159,100
479736,223256,Apartment,120,1499,5999,600,100,30,2,1125,0,1,1,1,93
483719,9082,Guest suite,60,390,1100,,30,20,1,365,11,11,11,171,95
488819,1583912,Apartment,150,999,3900,200,50,0,4,30,0,0,0,0,100
491993,1710397,Apartment,174,1190,4106,,183,20,3,1125,1,1,10,250,90
492012,1710397,Apartment,195,1477,4867,,183,20,3,1125,4,4,4,4,90
492071,760849,Townhouse,375,2205,6972,400,,15,5,365,9,35,65,168,85
496502,2453853,House,30,240,,0,0,10,2,14,6,20,42,101,91
501143,2473007,House,120,410,1750,,20,20,2,365,29,59,89,364,100
506491,2496901,Townhouse,78,420,1500,,,30,2,60,0,0,6,281,98
508586,2255480,House,46,,,,,0,1,1125,30,60,90,365,
508590,2255480,House,40,,,,,0,1,1125,30,60,90,365,87
508594,2255480,House,40,,,,,0,1,1125,29,59,89,364,100
509326,2509807,House,114,,,,,0,1,1125,30,60,90,365,
513766,2531069,House,71,,,,,0,1,1125,30,60,90,365,
515607,2539832,House,30,,,,,30,2,90,21,51,81,356,92
519819,2558288,Apartment,168,1176,4180,700,132,25,2,59,15,37,67,247,90
524247,1710397,Apartment,221,1799,5779,,233,20,3,1125,7,7,24,269,86
524570,2579341,House,80,450,,,10,0,1,14,4,34,58,58,97
529300,2600707,Apartment,93,649,2677,1000,100,10,1,730,0,0,30,305,83
529321,2600707,Apartment,62,430,1764,500,100,0,1,730,0,0,7,282,83
529339,2600707,Apartment,180,,,500,0,0,3,14,30,60,90,360,88
531324,2581091,House,71,,,,,35,1,1126,29,59,89,179,100
532347,2616259,Guesthouse,72,322,1288,0,40,20,2,60,28,58,88,363,88
535813,2633177,Other,1650,,,,,0,1,1125,30,60,90,365,
542188,223256,Apartment,138,1299,6000,600,120,20,1,365,15,45,75,75,85
546849,2027601,House,40,325,850,150,55,0,3,1125,30,31,38,128,82
552797,2716860,Apartment,109,,2000,131,85,0,2,180,0,0,30,120,99
554087,2707723,House,125,1100,4000,0,0,0,2,14,29,59,89,179,99
556080,2734929,House,245,1500,6000,300,115,0,2,21,0,0,6,281,96
557900,1700056,Apartment,190,1400,5040,0,60,0,3,200,5,6,6,244,98
564734,1710397,Apartment,174,1211,4106,,183,20,3,1125,0,0,0,0,73
565813,2002047,Apartment,54,,,140,40,50,4,31,28,58,88,363,94
567486,2792235,House,75,525,2281,200,,0,6,182,28,58,88,363,100
567514,2792428,House,40,250,,,,0,1,365,15,45,75,75,91
567941,2794092,House,84,560,1950,0,15,20,1,120,7,37,67,342,90
571502,2812963,House,80,,,,,15,3,30,13,40,67,67,90
591772,2921365,Apartment,65,,,0,50,30,3,1125,8,17,35,145,86
592162,2922619,Apartment,161,,,,,30,4,150,16,30,30,30,90
607674,2558288,Bed and breakfast,168,900,2700,500,132,0,2,90,30,60,90,365,80
609602,2027601,House,50,350,1000,0,85,0,7,1125,7,7,7,7,87
614259,2793499,Apartment,80,,,200,50,0,3,1124,5,14,40,41,100
619328,2734929,House,120,750,3500,250,75,0,2,30,0,0,0,250,95
619363,2734929,Townhouse,84,625,2500,200,75,50,2,30,0,0,0,189,94
621155,355966,Apartment,105,,,,,0,14,21,0,0,0,0,100
624205,569413,Serviced apartment,230,1500,6000,300,50,50,3,365,26,56,86,176,88
628156,3119669,Condominium,65,500,1850,150,50,10,3,30,8,30,60,150,96
628370,2150180,Apartment,174,900,3000,300,90,0,20,400,0,0,0,250,96
633258,440653,Apartment,73,650,2700,300,0,0,3,21,0,0,0,0,99
633546,3153972,Guest suite,80,600,2300,0,40,30,2,90,5,18,48,323,96
639260,172878,Apartment,161,1100,4100,500,120,10,2,60,1,5,23,284,94
641180,3079228,Guesthouse,89,,,0,45,10,3,270,3,14,32,185,97
642782,917998,Apartment,96,685,2600,200,80,0,3,1125,3,3,31,294,94
644223,266620,Apartment,120,800,3000,,60,10,2,30,0,0,0,0,100
648169,3251357,Loft,90,,,0,40,0,3,10,0,0,0,250,96
651578,3273522,Apartment,86,450,1500,,,0,2,15,0,4,34,34,95
653384,2232579,House,100,600,,,,0,1,1125,5,35,65,340,100
653386,2232579,House,100,,,,,0,1,1125,5,35,65,340,98
656235,3304934,Apartment,125,550,,500,120,30,5,90,0,2,32,32,100
657209,721348,Apartment,93,490,2400,200,30,20,3,365,2,19,19,272,92
661004,3251357,Apartment,180,1400,5600,500,70,0,3,20,11,11,11,11,93
662482,569413,House,700,4500,,200,250,50,2,365,26,46,76,349,69
662489,569413,Boutique hotel,100,650,2500,127,15,30,1,365,23,53,83,357,85
668738,3384635,Apartment,120,,,,90,0,7,30,13,14,14,234,98
670329,3396535,Loft,170,980,,300,100,0,4,1125,7,21,21,21,97
671981,3395313,House,100,,,,,0,1,1125,30,60,90,365,
674843,3427049,House,80,,,300,60,0,5,365,29,32,32,32,96
690762,3529788,House,80,500,1200,150,10,35,1,1125,0,0,0,0,20
691140,2616259,Bed and breakfast,68,322,,0,40,20,2,60,29,59,89,364,88
691144,2616259,Guesthouse,68,322,,0,40,20,2,60,0,29,59,334,96
692656,2616259,Guesthouse,62,290,,0,40,20,2,60,0,30,60,335,83
693216,3546073,House,73,425,1590,,15,29,3,60,18,48,78,353,96
694376,1710397,Apartment,174,1295,54258,,183,20,3,1125,9,9,9,9,90
712261,738640,Apartment,96,702,1800,200,50,0,4,90,0,14,38,107,96
712598,1499650,House,289,1700,3900,,50,20,2,1125,13,13,13,13,87
724777,3746937,Earth house,69,350,1250,,,20,2,365,28,58,88,88,100
728162,3776061,House,400,2085,,1000,100,0,7,30,0,0,0,0,95
731330,2027601,Apartment,119,700,2500,250,90,0,2,365,6,18,48,64,92
739896,3871035,Apartment,300,,,,50,0,2,14,0,0,0,0,93
752666,2865066,Apartment,84,,,200,65,0,2,1125,0,0,0,0,98
754134,3570625,Apartment,150,,,0,60,0,4,90,26,56,86,176,91
758097,3993802,Guesthouse,100,650,,200,,20,3,90,1,1,1,1,93
762496,2022963,Apartment,96,770,3080,,30,20,2,21,7,31,61,61,98
762695,50121,Apartment,138,1183,4172,450,100,28,3,28,7,15,28,303,94
768096,3506639,Apartment,199,1200,4500,0,200,30,10,120,21,45,75,75,96
771720,2027601,House,50,350,1000,150,55,0,7,365,0,0,18,293,85
780196,117431,House,46,,,0,20,0,2,35,1,3,33,308,99
780441,3377890,Apartment,83,900,3200,300,80,0,21,1125,19,19,19,173,91
784043,4133993,House,550,3100,,450,150,50,5,50,28,58,88,363,100
785116,3579354,House,150,,,,,0,1,1125,30,60,90,365,
788420,569413,Apartment,84,1500,6000,300,50,50,1,1125,22,47,77,77,91
792570,690940,Apartment,150,820,,,,0,3,21,6,6,6,6,90
802320,9256292,Apartment,161,,,150,60,25,3,200,10,10,10,10,96
804841,4236662,Bed and breakfast,109,,,,,50,2,14,30,60,90,365,
806245,2792025,Townhouse,186,,,,40,10,2,1125,2,12,12,247,96
809366,3427421,Apartment,120,,,500,50,30,2,1125,0,9,25,112,98
817054,3721646,Apartment,150,945,3585,199,99,29,5,200,30,59,89,364,87
817310,4307780,Townhouse,75,335,1400,200,40,20,3,180,29,59,89,179,96
817457,4170460,Apartment,226,1350,4500,500,100,25,1,1125,0,16,46,315,93
822054,4316715,House,100,,,,,0,1,1125,30,60,90,365,
822369,1003092,House,84,,,,20,25,2,1000,8,12,18,18,100
822382,1003092,House,50,250,700,0,15,20,3,30,14,14,14,14,90
827095,4338127,Apartment,109,,,150,60,20,2,365,14,33,63,338,96
828906,4344982,Townhouse,60,,,,,25,21,1125,30,60,90,365,
834720,4114350,Apartment,84,840,,200,50,20,5,30,15,15,15,15,97
835521,2843772,Apartment,168,1200,3275,300,70,0,3,365,0,0,0,0,98
835730,971810,Bungalow,140,410,1600,350,60,0,4,1125,4,25,36,126,96
846825,4422138,House,109,350,1150,200,30,30,2,1125,30,60,90,365,
847063,2591026,Villa,300,1100,4000,500,150,20,2,60,27,57,87,362,94
849118,569413,Apartment,357,2500,9000,300,50,50,1,1125,22,47,77,347,88
850845,2474010,Apartment,109,,,500,80,0,30,365,0,0,0,251,93
853643,4257468,House,174,,,3000,155,25,6,1125,10,14,17,17,94
856570,913736,Condominium,161,1030,3400,250,0,15,3,1125,16,25,48,48,92
856573,913736,Condominium,215,1350,4590,500,0,15,3,1125,5,19,49,49,96
861920,913736,Condominium,215,1350,4590,500,0,15,3,1125,16,22,28,28,97
862000,913736,Condominium,210,1240,3950,500,0,15,3,1125,16,32,62,62,96
862199,4518874,Apartment,100,720,2500,400,0,15,4,150,5,20,50,230,92
863143,4500639,Apartment,120,900,3255,,75,10,3,120,0,2,8,163,93
865195,606393,Guesthouse,72,,,200,60,20,2,1125,0,4,4,240,97
866134,4549913,House,90,595,2500,1000,35,80,1,60,29,59,89,364,97
867464,4542615,Tiny house,89,500,1000,,,0,2,60,1,11,26,230,98
870066,4585163,Apartment,150,950,3600,150,75,0,190,730,29,59,89,364,92
870859,4590285,House,55,,,,29,20,1,1125,30,60,90,365,80
870879,4590285,House,64,400,1700,,25,20,1,1125,30,60,90,365,
872081,4600409,Bed and breakfast,130,600,2000,0,0,65,1,60,24,50,80,257,94
872297,4071630,House,75,530,2000,150,,20,3,31,0,17,47,322,90
872302,4071630,House,75,545,2000,150,,25,3,31,0,17,47,322,96
874165,50121,Apartment,179,1743,5572,500,110,28,3,28,5,24,28,297,95
875444,4621990,Apartment,119,780,2600,250,80,0,2,1124,8,38,68,88,93
875913,50121,Apartment,129,1113,3892,450,100,28,3,28,2,22,52,327,95
881242,2262538,House,140,1200,3500,,80,30,10,1125,12,33,33,269,92
882704,4625432,House,62,400,1600,0,20,15,1,1125,15,39,45,320,98
887320,210716,House,54,400,1550,0,40,21,1,365,27,56,86,361,98
887782,4590285,Apartment,65,400,1790,,20,0,1,1125,30,60,90,365,100
890726,2423998,Apartment,84,803,2460,300,40,30,3,1125,7,24,54,320,95
892787,1612516,Apartment,100,,3300,750,60,10,5,1125,18,48,78,353,93
895688,3418238,House,75,500,2100,,,10,1,1125,30,60,90,365,90
905969,4848120,House,251,1670,,500,120,20,2,1000,10,14,39,275,97
906586,4853169,Apartment,320,2600,8000,300,250,50,2,1125,0,0,0,0,95
907354,4859910,House,84,,,0,50,0,7,60,0,0,28,114,99
908963,4859910,House,84,,,0,50,0,7,60,14,24,52,138,96
908981,4859910,House,75,,,0,50,0,7,60,10,13,21,107,97
911079,4910818,House,84,672,,,,0,1,7,27,57,87,87,98
911167,4889343,House,47,,,0,15,0,1,14,16,46,76,76,98
911365,2877348,House,343,2650,9000,400,140,20,1,1125,10,31,61,317,94
912966,3978393,Apartment,170,1400,4400,500,60,30,4,365,24,44,44,44,97
913004,2027601,Apartment,140,850,3150,250,90,0,2,365,4,18,48,69,90
920179,4944974,Cottage,195,,,,,0,2,30,16,46,76,351,93
921611,3570625,Apartment,190,,,0,0,50,3,365,0,0,0,0,94
926682,4986236,Apartment,119,760,2300,150,40,0,3,1125,12,15,18,268,96
928684,2542055,Townhouse,75,550,2300,150,100,0,2,60,0,0,0,0,98
930037,5009174,House,145,900,,0,20,30,3,21,7,14,28,299,94
932918,624031,Townhouse,190,1300,4800,1000,180,50,7,180,10,30,60,150,94
933044,5029873,Apartment,180,1100,,200,60,25,2,30,2,11,12,264,100
936283,1710397,Apartment,174,1295,4258,,183,20,3,1125,2,22,48,319,85
936302,1710397,Apartment,174,1295,4258,,183,20,3,1125,8,29,58,322,86
938088,1612516,Apartment,109,,,750,60,10,7,1125,0,0,0,245,93
938326,5067558,House,84,400,,,25,0,2,30,0,0,0,0,93
941483,5090386,House,161,,,,,40,2,1125,16,43,69,344,95
944235,1000796,Apartment,145,950,3600,,85,0,2,1125,4,23,53,328,92
947806,5138361,Apartment,90,550,1850,200,30,15,2,14,0,0,0,0,93
948081,5140385,Condominium,75,420,1700,,,20,2,30,22,51,81,356,98
952100,4228692,Apartment,100,650,2400,150,130,0,2,1125,8,11,41,128,95
954106,5181787,Bungalow,83,644,2062,0,50,15,2,180,3,3,21,272,97
956968,5203095,Townhouse,180,1000,3800,0,100,10,5,10,12,12,12,205,88
957284,5205726,House,270,1400,,0,0,50,1,1125,3,16,26,283,97
958631,5216487,House,69,395,,500,50,20,2,30,29,59,89,364,96
960498,5229572,Condominium,190,,,300,100,70,2,180,18,24,24,24,98
964490,1944622,Guest suite,75,400,1200,0,30,0,1,1124,13,29,59,59,91
964548,3721646,Apartment,169,1045,3895,199,129,14,2,90,14,37,60,335,86
966901,932976,House,165,,,350,75,0,2,35,28,58,88,363,98
971698,1000796,Apartment,174,985,,0,100,0,2,120,0,0,9,284,90
978562,1533260,House,46,,,,,20,1,1125,28,58,88,363,95
980716,5370551,Bed and breakfast,55,350,,,,35,1,7,29,58,83,358,98
982452,5382488,Apartment,1024,,,,,0,4,6,30,60,90,365,
982577,3705064,Apartment,84,550,2200,250,100,0,14,365,16,24,30,305,91
984021,1612516,Apartment,109,,3185,750,60,10,4,1125,0,4,34,309,90
985644,5408355,Apartment,190,1400,4990,,75,0,1,15,15,45,75,350,95
985656,1038237,House,54,300,1200,,20,10,3,1125,8,8,8,223,92
986403,3004635,Apartment,109,545,1930,0,30,0,2,60,11,29,51,141,98
988366,5425629,House,64,525,2100,0,0,0,3,50,12,25,39,39,98
990795,5441565,Bed and breakfast,109,650,2400,,85,20,3,330,30,60,90,365,96
995402,5140385,Apartment,152,980,2800,,,20,2,365,5,12,27,302,93
997505,1635845,House,105,700,2750,500,50,10,2,330,0,0,0,0,100
997517,5247469,Nature lodge,1250,,8200,600,150,95,2,30,16,34,61,336,94
999067,5491435,Guesthouse,100,900,4000,100,,0,1,14,3,9,25,280,97
999115,5491747,Apartment,145,915,3200,300,90,25,2,28,19,19,19,19,92
999305,5492859,House,42,322,1200,500,35,18,2,1125,0,0,0,76,100
1001457,5507453,Condominium,251,,,300,100,10,4,120,14,34,49,226,92
1001739,5509449,House,46,,,,,10,3,365,17,29,59,305,96
1002094,1764883,Apartment,170,850,3400,150,50,0,4,1125,21,44,74,349,97
1004260,5523791,Apartment,100,900,3200,250,80,0,1,1125,0,0,0,0,
1009526,5553732,Apartment,84,550,2300,,,0,2,30,5,35,65,340,94
1009543,5553847,Condominium,230,,,500,0,50,4,1125,18,46,74,331,93
1009577,4971509,Hotel,87,,,0,25,10,1,1125,12,30,59,334,96
1009764,5555223,Serviced apartment,136,,,500,200,0,60,1122,23,53,83,263,
1012462,5570306,Apartment,217,1085,4388,200,50,20,5,1124,22,33,42,42,98
1019243,1635845,House,75,500,,,,0,1,30,10,14,44,112,97
1019387,5309946,Apartment,109,770,,500,50,25,3,365,8,22,52,327,94
1019415,4215071,Cottage,199,1200,,,20,20,1,365,0,28,58,333,
1024812,5642324,Bed and breakfast,75,,,350,50,25,5,1125,30,60,90,365,
1040233,3211518,Apartment,84,518,1827,100,120,20,2,365,6,17,29,115,94
1040236,5309946,Apartment,109,770,,500,50,25,3,365,10,24,54,329,93
1046449,5509449,House,46,,,,,10,3,365,1,11,41,316,96
1054730,5808523,House,75,,,500,25,30,7,1125,29,59,89,364,100
1057401,5824112,Apartment,75,525,,500,50,0,7,1125,4,15,33,308,95
1058005,5826019,Apartment,195,,,400,80,0,3,1125,29,59,89,364,100
1061196,1701103,Bungalow,251,,,150,100,0,3,80,7,29,54,144,96
1061439,5843865,Apartment,68,430,1699,200,,20,3,1125,0,0,9,241,93
1064493,2708837,Apartment,96,700,2400,,60,0,1,1125,0,0,0,0,97
1064503,2027601,House,40,300,950,150,85,0,3,300,0,0,0,0,91
1067281,5869866,House,299,1953,7967,500,125,20,21,365,30,60,90,270,100
1072806,5901274,House,62,,,0,10,0,1,4,14,39,67,67,95
1077126,5927414,House,36,200,760,,15,30,1,1125,27,57,87,362,90
1077193,5570306,Apartment,198,985,3600,200,50,20,5,1111,7,18,27,27,95
1077907,846710,House,40,,,200,,0,3,14,0,0,0,0,95
1080588,5869866,House,289,1855,7594,500,75,20,7,365,0,4,34,309,
1090065,5553847,Condominium,289,,,500,0,50,4,1124,22,50,80,343,87
1091282,2586919,Apartment,251,1700,,500,100,50,2,14,0,7,30,30,97
1093015,457638,Apartment,130,820,3000,0,55,0,2,1124,5,9,23,270,96
1098759,1771763,Apartment,90,546,,,,20,2,1125,10,30,60,335,89
1107707,5869866,House,299,1953,7470,500,175,20,21,365,6,10,40,40,80
1117938,3751541,Apartment,90,650,2200,,75,0,7,1125,0,0,4,279,94
1118089,4761318,House,216,1600,,500,,0,7,90,0,0,0,250,100
1119307,4600409,Bed and breakfast,125,600,2000,,,65,1,60,3,3,3,3,94
1119442,6140418,Apartment,235,,,,,0,3,14,0,0,0,0,
1125294,4719593,Apartment,80,550,1840,,50,0,2,40,0,3,3,3,92
1127751,2864113,House,125,,,250,75,20,3,1124,11,23,28,281,98
1135875,1374226,Apartment,89,595,,0,0,8,2,14,5,8,28,213,99
1138262,6243990,Townhouse,500,500,1800,,35,0,3,14,29,59,89,364,98
