id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
13646757,79220550,House,100,,,250,80,0,7,11,0,0,0,0,
13646882,364347,House,55,,,,,0,1,1125,17,19,19,19,99
13649054,64582191,House,190,,,,30,0,3,1125,3,24,54,329,94
13649689,51172609,Apartment,60,,,200,79,0,1,1125,6,27,57,66,91
13650748,79262737,House,35,,,126,20,25,1,1125,29,59,89,364,100
13653593,35789055,Apartment,100,,,200,39,15,1,1125,4,29,59,149,92
13658766,3254091,House,73,,,150,50,10,5,60,0,0,6,6,100
13659210,79377368,Serviced apartment,123,,,200,0,50,1,1125,0,24,54,170,
13659303,26042150,House,50,,,130,10,0,2,30,0,0,0,84,100
13659744,46417971,Townhouse,179,,,600,95,30,3,1125,12,25,32,32,88
13660398,25526615,House,35,,,,10,0,1,1125,0,0,0,0,100
13662246,5593466,House,150,,,0,50,0,2,1125,8,11,41,41,96
13663579,24550719,Apartment,28,,,,,10,7,14,0,0,0,0,
13663651,79433170,Apartment,150,,,500,40,50,7,210,0,16,30,30,100
13674393,79560790,House,60,,,200,,0,13,45,0,0,0,0,100
13674676,79564344,House,35,,,,10,7,1,1125,7,7,7,7,94
13675145,79574731,Apartment,60,,,127,25,0,1,3,0,0,0,0,
13675415,26779625,Condominium,118,,,,25,0,2,1125,9,24,24,24,95
13675960,2201959,Apartment,125,,,,50,7,7,21,13,22,52,327,95
13676179,79593247,Apartment,100,,,150,10,0,2,1125,0,0,0,267,94
13676368,79596282,Apartment,96,,,,38,0,2,1125,0,0,0,0,
13679391,44883590,Guesthouse,100,,,,,10,2,1125,1,3,3,220,99
13679653,24497571,Apartment,71,,,,10,10,1,1125,0,0,0,0,97
13680199,79638050,Apartment,97,,,132,14,0,2,7,0,0,0,0,
13680276,77670627,Apartment,105,,,300,70,0,1,1125,6,18,37,91,96
13684434,70860357,Condominium,150,,,149,0,69,1,1125,0,0,0,128,98
13689112,79755298,Apartment,50,,,150,15,0,1,5,23,53,83,358,
13695270,22826558,House,71,,,,,0,1,1125,15,45,75,100,
13699701,51765724,Apartment,145,,,,55,15,2,1125,0,6,14,278,100
13702005,42242728,Apartment,65,,,,,15,2,70,20,50,80,80,97
13702781,4351861,Apartment,150,,,200,35,0,2,1125,0,0,0,0,90
13703925,24650119,House,199,,,,10,10,1,1125,29,57,87,177,95
13704905,18001662,Apartment,116,,,132,65,10,1,1125,10,30,60,150,98
13706922,44992189,House,50,,,,,25,1,80,0,0,0,0,
13716677,80150484,Apartment,100,500,2000,200,70,0,1,1125,0,0,12,12,98
13718326,16198749,House,36,,,,,7,3,25,0,0,0,0,80
13718365,80167052,House,379,,,0,30,60,1,14,20,50,78,343,95
13718739,34001031,House,180,,,127,25,0,1,5,0,0,0,0,
13719070,65728592,Apartment,150,,,150,,0,3,14,29,59,89,89,
13719560,42960734,Cabin,230,,,,,0,1,7,27,57,87,177,80
13719829,80189051,Apartment,73,,,,,12,1,1125,14,34,64,64,99
13721275,56384042,Apartment,80,,,250,95,7,2,1125,8,38,68,158,93
13721853,18633392,Hostel,50,,,200,39,0,4,1125,16,21,51,51,85
13721949,30900122,Apartment,150,,,150,65,15,1,31,0,18,46,240,97
13723118,12066834,Apartment,96,,,0,25,10,3,7,28,58,88,88,
13732925,7509953,House,210,,,250,160,0,1,1125,14,24,33,290,96
13733423,7509953,Apartment,109,,,250,80,0,1,1125,15,30,53,297,90
13733872,75708230,Apartment,80,,,150,,18,1,14,24,24,24,24,95
